haiku,season,author,reading,kigo
草臥れて　寝し間に春は　暮にけり,夏,几董 ,くたびれて　ねしまにはるは　くれにけり,
這渡る　橋の下より　時鳥,夏,一茶,はいわたる　はしのしたより　ほととぎす,
ほととぎす　大竹藪を　もる月夜,夏,芭蕉,ほととぎす　おおたけやぶを　もるつきよ,
山寺や　縁の下なる　苔清水,夏,几董 ,やまでらや　えんのしたなる　こけしみず,
春惜しむ　心年々　似ざりけり,夏,月居,はるおしむ　こころねんねん　にざりけり,
馬の子が　口つん出すや　杜若,夏,一茶,うまのこが　つちつんだすや　かきつばた,
みじか夜や　あかい花さく　つるのさき,夏,一茶,みじかよや　あかいはなさく　つるのさき,
なきながら　虫の流るゝ　浮木かな　,夏,一茶,なきながら　むしのながるる　うきぎかな,
五月雨の　竹にはさまる　在所かな,夏,一茶,さみだれの　たけにはさまる　ざいしょかな,
音計り　でも夕立の　夕かな,夏,一茶,おとばかり　でもゆうだちの　ゆうべかな,
夏山や　一足づつに　海見ゆる,夏,一茶,なつやまや　ひとあしづつに　うみみゆる,
狭くとも　いざ飛び習へ　庵の蚤,夏,一茶,せまくとも　いざとびならえ　いおののみ,
小男鹿や　蝶をふるつて　また眠る,夏,一茶,さおしかや　ちょうをふるって　またねむる,
人一人　蠅も一つや　大座敷,夏,一茶,ひとひとり　はえもひとつや　おおざしき,
朝やけが　よろこばしいか　蝸牛,夏,一茶,あさやけが　よろこばしいか　かたつむり,
