kigo,pronunciation,season
あめんぼ虫,あめんぼむし,夏
綾筵,あやむしろ,夏
渓蓀,あやめ,夏
菖蒲合せ,あやめあわせ,夏
菖蒲印地,あやめいんじ,夏
菖蒲売,あやめうり,夏
菖蒲刈る,あやめかる,夏
あやめ草,あやめぐさ,夏
あやめ酒,あやめざけ,夏
菖蒲団子,あやめだんご,夏
あやめ人形,あやめにんぎょう,夏
菖蒲の占,あやめのうら,夏
菖蒲鬘,あやめのかずら,夏
菖蒲の帷子,あやめのかたびら,夏
菖蒲の車,あやめのくるま,夏
菖蒲の輿,あやめのこし,夏
菖蒲御殿,あやめのごてん,夏
あやめの衣,あやめのころも,夏
菖蒲の盃,あやめのさかずき,夏
菖蒲の節会,あやめのせちえ,夏
菖蒲の節句,あやめのせっく,夏
菖蒲の案,あやめのつくえ,夏
菖蒲の根合,あやめのねあわせ,夏
菖蒲の日,あやめのひ,夏
菖蒲幟,あやめのぼり,夏
菖蒲の枕,あやめのまくら,夏
菖蒲引く,あやめひく,夏
菖蒲葺く,あやめふく,夏
菖蒲を献ず,あやめをけんず,夏
鮎,あゆ,夏
鮎生簀,あゆいけす,夏
鮎掛,あゆかけ,夏
鮎籠,あゆかご,夏
鮎狩,あゆがり,夏
鮎魚田,あゆぎょでん,夏
鮎刺,あゆさし,夏
鮎鮓,あゆずし,夏
鮎鮨,あゆずし,夏
鮎鷹,あゆたか,夏
鮎釣,あゆつり,夏
鮎釣開禁,あゆつりかいきん,夏
鮎時,あゆどき,夏
鮎膾,あゆなます,夏
鮎の里,あゆのさと,夏
鮎の姿鮓,あゆのすがたずし,夏
鮎の宿,あゆのやど,夏
鮎もどき,あゆもどき,夏
鮎擬,あゆもどき,夏
鮎漁,あゆりょう,夏
鮎漁解禁,あゆりょうかいきん,夏
洗膾,あらい,夏
洗い髪,あらいがみ,夏
洗ひ髪,あらいがみ,夏
洗鯉,あらいごい,夏
洗鱸,あらいすずき,夏
洗鯛,あらいたい,夏
洗ひ茶巾,あらいちゃきん,夏
洗い飯,あらいめし,夏
洗ひ飯,あらいめし,夏
荒鵜,あらう,夏
新口,あらくち,夏
荒梅雨,あらづゆ,夏
荒手番,あらてつがい,夏
荒和の祓,あらにごのはらえ,夏
荒南風,あらばえ,夏
新南風,あらばえ,夏
荒布,あらめ,夏
荒布刈,あらめがり,夏
荒布刈る,あらめかる,夏
荒布舟,あらめぶね,夏
荒布船,あらめぶね,夏
荒布干す,あらめほす,夏
あられ鮓,あられずし,夏
霰天神山,あられてんじんやま,夏
蟻,あり,夏
蟻地獄,ありじごく,夏
蟻塚,ありづか,夏
ありなしの日,ありなしのひ,夏
有無日,ありなしび,夏
蟻の国,ありのくに,夏
蟻の俵,ありのたわら,夏
蟻の塔,ありのとう,夏
蟻の門渡り,ありのとわたり,夏
蟻の道,ありのみち,夏
蟻の列,ありのれつ,夏
蚜虫,ありまき,夏
蟻巻,ありまき,夏
有馬蘭,ありまらん,夏
袷,あわせ,夏
袷衣,あわせぎぬ,夏
袷時,あわせどき,夏
鮑,あわび,夏
鰒,あわび,夏
鮑取,あわびとり,夏
粟蒔,あわまき,夏
粟蒔く,あわまく,夏
阿波蜜柑,あわみかん,夏
泡盛,あわもり,夏
泡盛草,あわもりそう,夏
泡雪羹,あわゆきかん,夏
沫雪羹,あわゆきかん,夏
淡雪羹,あわゆきかん,夏
安居,あんご,夏
安居寺,あんごでら,夏
杏,あんず,夏
杏子,あんず,夏
行灯水母,あんどんくらげ,夏
行灯海月,あんどんくらげ,夏
餡蜜,あんみつ,夏
藺,い,夏
飯鮓,いいずし,夏
家蟻,いえあり,夏
家蝙蝠,いえこうもり,夏
家清水,いえしみず,夏
家早乙女,いえそうとめ,夏
家蜱,いえだに,夏
家蠅,いえばえ,夏
家姫蟻,いえひめあり,夏
家康忌,いえやすき,夏
硫黄草,いおうそう,夏
烏賊,いか,夏
藺笠,いがさ,夏
烏賊釣,いかつり,夏
烏賊釣火,いかつりび,夏
烏賊釣舟,いかつりぶね,夏
烏賊の甲,いかのこう,夏
烏賊の墨,いかのすみ,夏
烏賊干す,いかほす,夏
藺刈,いかり,夏
藺刈り,いかり,夏
桑扈,いかる,夏
鵤,いかる,夏
藺刈る,いかる,夏
生作り,いきづくり,夏
生鱧,いきはも,夏
藺草,いぐさ,夏
五十串,いぐし,夏
生玉の走馬祭,いくだまのそうままつり,夏
生玉の流鏑馬,いくだまのやぶさめ,夏
生簀船,いけすぶね,夏
率川祭,いさかわまつり,夏
藺座布団,いざぶとん,夏
井浚え,いざらえ,夏
井浚,いざらえ・いざらい,夏
