kigo,pronunciation,season
鬼餅,おにもち,冬
鬼やらい,おにやらい,冬
鬼やらひ,おにやらい,冬
斧仕舞,おのじまい,冬
小野炭,おのずみ,冬
飯櫃入,おはちいれ,冬
飯櫃畚,おはちふご,冬
飯櫃蒲団,おはちぶとん,冬
お葉漬,おはづけ,冬
尾花枯る,おばなかる,冬
帯解,おびとき,冬
帯直,おびなおし,冬
御仏事,おぶつじ,冬
御仏名,おぶつみょう,冬
御火焼,おほたき,冬
御火焚,おほたき,冬
小忌衣,おみごろも,冬
小忌の袖,おみのそで,冬
御神渡,おみわたり,冬
御命講,おめいこう,冬
思羽,おもいば,冬
親子月,おやこづき,冬
オランダ三葉,おらんだみつば,冬
尾張蕪,おわりかぶ,冬
尾張大根,おわりだいこん,冬
御贖物,おんあがもの,冬
温室,おんしつ,冬
温石,おんじゃく,冬
温床,おんしょう,冬
温突,おんどる,冬
御祭,おんまつり,冬
飼兎,かいうさぎ,冬
懐中湯婆,かいちゅうたんぽ,冬
鳰,かいつぶり,冬
外套,がいとう,冬
海氷,かいひょう,冬
搔巻,かいまき,冬
貝焼,かいやき,冬
懐炉,かいろ,冬
開炉節,かいろせつ,冬
懐炉灰,かいろばい,冬
懐炉焼,かいろやけ,冬
替畳,かえだたみ,冬
浚へ取,かえどり,冬
栢梨の勧盃,かえなしのけんぱい,冬
帰咲,かえりざき,冬
返花,かえりばな,冬
帰花,かえりばな,冬
顔荒る,かおある,冬
顔見世,かおみせ,冬
顔見世茎,かおみせぐき,冬
案山子揚,かがしあげ,冬
加賀煮,かがに,冬
鏡餅搗く,かがみもちつく,冬
牡蠣,かき,冬
石花,かき,冬
牡蠣打,かきうち,冬
柿落葉,かきおちば,冬
牡蠣雑炊,かきぞうすい,冬
かき雑炊,かきぞうすい,冬
牡蠣田,かきた,冬
書出し,かきだし,冬
牡蠣鍋,かきなべ,冬
牡蠣船,かきぶね,冬
牡蠣フライ,かきふらい,冬
牡蠣むく,かきむく,冬
牡蠣剝く,かきむく,冬
牡蠣飯,かきめし,冬
欠餅,かきもち,冬
牡蠣料理,かきりょうり,冬
牡蠣割女,かきわりめ,冬
牡蠣割る,かきわる,冬
杜父魚,かくぶつ,冬
角巻,かくまき,冬
神楽,かぐら,冬
神楽歌,かぐらうた,冬
神楽月,かぐらづき,冬
神楽宿,かぐらやど,冬
鶴唳忌,かくるいき,冬
掛乞,かけごい,冬
影氷る,かげこおる,冬
懸大根,かけだいこん・かけだいこ,冬
掛取,かけとり,冬
掛鳥,かけどり,冬
懸菜,かけな,冬
