kigo,pronunciation,season
髢草,かもじぐさ,春
鷗忌,かもめき,春
榧の花,かやのはな,春
萱の芽,かやのめ,春
通う猫,かようねこ,春
通ふ猫,かようねこ,春
殻浅蜊,からあさり,春
韓神祭,からかみまつり,春
芥子菜,からしな,春
芥菜,からしな,春
辛菜,からしな,春
烏あげは,からすあげは,春
烏貝,からすがい,春
烏だこ,からすだこ,春
烏蝶,からすちょう,春
烏の巣,からすのす,春
鴉の巣,からすのす,春
烏木蓮,からすもくれん,春
枸橘,からたち,春
枸橘の花,からたちのはな,春
唐椿,からつばき,春
樺太鱒,からふとます,春
唐木瓜,からぼけ,春
からぼけの花,からぼけのはな,春
落葉松の芽,からまつのめ,春
杏の粥,からもものかゆ,春
からももの花,からもものはな,春
雁帰る,かりかえる,春
雁供養,かりくよう,春
雁の名残,かりのなごり,春
雁の別れ,かりのわかれ,春
臥龍梅,がりょうばい,春
榠樝の花,かりんのはな,春
獺魚を祭る,かわおそうおをまつる・かわうそうおをまつる,春
河烏,かわがらす,春
乾鱈,かわきだら・ほしだら,春
蛙,かわず,春
蛙合戦,かわずがっせん,春
川添柳,かわぞえやなぎ・かわぞいやなぎ,春
川高菜,かわたかな,春
川苣,かわぢさ,春
水苦賈,かわぢしゃ,春
川燕,かわつばめ,春
川菜,かわな,春
川蜷,かわにな,春
川端柳,かわばたやなぎ,春
川鱒,かわます,春
川柳,かわやなぎ,春
水楊,かわやなぎ,春
河原鶸,かわらひわ,春
変り雛,かわりびな,春
変わり雛,かわりびな,春
寒明,かんあけ,春
寒明け,かんあけ,春
寒明ける,かんあける,春
寛永雛,かんえいびな,春
観桜,かんおう,春
観桜御宴,かんおうぎょえん,春
観桜御会,かんおうぎょかい,春
寒終る,かんおわる,春
寒返る,かんかえる,春
勧学会,かんがくえ,春
雁瘡癒ゆ,がんがさいゆ,春
願解踊,がんげおどり,春
願解祭,がんげさい,春
官女,かんじょ,春
甘蔗植う,かんしょうう,春
寒食,かんしょく,春
寒食節,かんしょくせつ,春
甘藷苗,かんしょなえ,春
官女雛,かんじょびな,春
寒過ぎる,かんすぎる,春
寒過ぐ,かんすぐ,春
鑑三忌,かんぞうき,春
観潮,かんちょう,春
観潮船,かんちょうせん,春
疳取草,かんとりそう,春
広東木瓜,かんとんぼけ,春
寒の明け,かんのあけ,春
寒の戻り,かんのもどり,春
観梅,かんばい,春
かんばの花,かんばのはな,春
灌仏,かんぶつ,春
灌仏会,かんぶつえ,春
雁風呂,がんぶろ,春
寒もどり,かんもどり,春
寒戻り,かんもどり,春
黄虻,きあぶ,春
木苺の花,きいちごのはな,春
黄えびね,きえびね,春
妓王忌,ぎおうき,春
祇王忌,ぎおうき,春
祇園一切経会,ぎおんいっさいきょうえ,春
祇園御八講,ぎおんごはっこう,春
其角忌,きかくき,春
帰雁,きがん,春
聞きすへ鳥,ききすえどり,春
聞すえ鳥,ききすえどり,春
利茶,ききちゃ,春
聞茶,ききちゃ,春
桔梗の芽,ききょうのめ,春
菊戴,きくいただき,春
菊植う,きくうう,春
菊菜,きくな,春
菊苦菜,きくにがな,春
菊根分,きくねわけ,春
菊の苗,きくのなえ,春
菊の根分,きくのねわけ,春
菊の芽,きくのめ,春
菊の若葉,きくのわかば,春
菊蕗,きくふき,春
菊分つ,きくわかつ,春
黄華鬘,きけまん,春
喜見城,きけんじょう,春
紀元節,きげんせつ,春
起蚕,きこ,春
枳殻,きこく,春
蚶,きさ,春
細螺,きさご,春
衣更着,きさらぎ,春
如月,きさらぎ,春
二月菜,きさらぎな,春
如月菜,きさらぎな,春
蟻蚕,ぎさん,春
雉,きじ,春
雉子,きじ,春
岸青む,きしあおむ,春
雉打つ,きじうつ,春
羊蹄,ぎしぎし,春
義士祭,ぎしさい・ぎしまつり,春
雉の巣,きじのす,春
雉のほろろ,きじのほろろ,春
雉笛,きじぶえ,春
雉蓆,きじむしろ,春
季春,きしゅん,春
季春,きしゅん,春
黄水仙,きずいせん,春
黄雀,きすずめ,春
北野菜種御供,きたのなたねごく,春
北野梅花祭,きたのばいかさい,春
北窓開く,きたまどひらく,春
吉祥院八講,きちじょういんのはっこう,春
黄蝶,きちょう,春
狐薊,きつねあざみ,春
狐の牡丹,きつねのぼたん,春
狐の森,きつねのもり,春
木流し,きながし,春
黄粉鳥,きなこどり,春
祈年祭,きねんさい,春
季御読経,きのみどきょう,春
木の芽和,きのめあえ,春
木の芽煮,きのめだき,春
木の芽漬,きのめづけ,春
木の芽田楽,きのめでんがく,春
木の芽味噌,きのめみそ,春
黄蜂,きばち,春
木五倍子の花,きぶしのはな,春
岐阜蝶,ぎふちょう,春
木彫雛,きぼりびな,春
きめこみ雛,きめこみびな,春
球根植う,きゅうこんうう,春
きうしう雉,きゅうしゅうきじ,春
九春,きゅうしゅん,春
旧正,きゅうしょう,春
旧正月,きゅうしょうがつ,春
灸据え日,きゅうすえび,春
及第,きゅうだい,春
胡瓜植う,きゅうりうう,春
胡瓜蒔く,きゅうりまく,春
杏花雨,きょうかう,春
杏花村,きょうかそん,春
行基菩薩忌,ぎょうぎぼさつき,春
行基詣,ぎょうぎもうで,春
経供養,きょうくよう,春
競漕,きょうそう,春
競漕会,きょうそうかい,春
叫天子,きょうてんし,春
京菜,きょうな,春
経の紐解,きょうのひもとき,春
京雛,きょうびな,春
享保雛,きょうほびな,春
経よみ鳥,きょうよみどり,春
御忌,ぎょき,春
御忌小袖,ぎょきこそで,春
御忌の鐘,ぎょきのかね,春
御忌の寺,ぎょきのてら,春
御忌詣,ぎょきもうで,春
曲水,きょくすい・ごくすい,春
曲水の宴,きょくすいのえん,春
虚子忌,きょしき,春
漁夫来る,ぎょふくる,春
漁夫募る,ぎょふつのる,春
金瘡小草,きらんそう,春
桐ケ谷桜,きりがやざくら,春
切山椒,きりざんしょう,春
霧島躑躅,きりしま・きりしまつつじ,春
キリスト受難日,きりすとじゅなんび,春
切接,きりつぎ,春
桐の芽,きりのめ,春
金衣鳥,きんいちょう,春
錦鶏児,きんけいじ,春
