kigo,pronunciation,season
御汁,おしる,新年
お供へくづし,おそなえくずし,新年
御田打,おたうち,新年
御棚会,おたなえ,新年
落ち凧,おちだこ・おちたこ,新年
御帳綴,おちょうとじ,新年
御釿始,おちょうなはじめ,新年
小角忌,おづぬき,新年
御方打,おてうち,新年
お手掛,おてかけ,新年
御膏薬,おとうやく,新年
男踏歌,おとことうか,新年
男蹈歌,おとことうか,新年
お年さま,おとしさま,新年
お年玉,おとしだま,新年
お富さん,おとみさん,新年
御富法会,おとみほうえ,新年
お取初め,おとりぞめ,新年
踊初,おどりぞめ,新年
お流れ,おながれ,新年
お撫で物,おなでもの,新年
鬼打木,おにうちぎ,新年
鬼打棒,おにうちぼう,新年
鬼押木,おにおしぎ,新年
鬼踊,おにおどり,新年
鬼木,おにぎ,新年
鬼燻,おにくすべ,新年
鬼子祭,おにこまつり,新年
鬼障木,おにさえぎ,新年
鬼の飴,おにのあめ,新年
鬼の法楽,おにのほうらく,新年
鬼走,おにばしり,新年
鬼火,おにび,新年
鬼夜,おにや,新年
鬼会,おによ,新年
鬼除木,おによけぎ,新年
御能始,おのうはじめ,新年
斧始,おのはじめ,新年
薺蒿摘,おはぎつみ,新年
菟芽子摘む,おはぎつむ,新年
お福,おふく,新年
御福茶,おふくちゃ,新年
お福の湯,おふくのゆ,新年
お福蜈蚣,おふくむかで,新年
お符切,おふだきり,新年
御弓奏,おほんたらしのそう,新年
お松払い,おまつはらい,新年
親見参,おやげんぞ,新年
親子草,おやこぐさ,新年
お山焼,おやまやき,新年
おらが春,おらがはる,新年
織初,おりぞめ,新年
尾張万歳,おわりまんざい,新年
御門松,おんかどまつ,新年
御田,おんだ,新年
御田祭,おんだまつり,新年
女賀客,おんながきゃく,新年
女正月,おんなしょうがつ・めしょうがつ,新年
女節分,おんなせつぶん,新年
女踏歌,おんなとうか,新年
女蹈歌,おんなとうか,新年
女礼,おんなれい,新年
女礼者,おんなれいじゃ,新年
御掃初,おんはきぞめ,新年
御柱,おんばしら,新年
御弓神事,おんゆみしんじ,新年
御弓始祭,おんゆみはじめさい,新年
蚕祭,かいこまつり,新年
開歳,かいさい,新年
開春,かいしゅん,新年
買初,かいぞめ,新年
改旦,かいたん,新年
解凍,かいとう,新年
改年,かいねん,新年
改年の御慶,かいねんのぎょけい,新年
飼屋払,かいやばらい,新年
傀儡師,かいらいし,新年
廻礼,かいれい,新年
回礼,かいれい,新年
還饗,かえりあるじ,新年
花押始,かおうはじめ,新年
加賀万歳,かがまんざい,新年
加賀見草,かがみぐさ,新年
鏡草,かがみぐさ,新年
鏡の祝,かがみのいわい,新年
鏡開,かがみびらき,新年
鏡餅,かがみもち,新年
鏡割,かがみわり,新年
懸り凧,かかりだこ・かかりたこ,新年
懸り羽子,かかりはね,新年
書初,かきぞめ,新年
鍵引,かぎひき,新年
鉤引神事,かぎひきしんじ,新年
賀客,がきゃく,新年
角凧,かくだこ,新年
覚如忌,かくにょき,新年
角兵衛獅子,かくべえじし,新年
神楽始,かぐらはじめ,新年
画雞を戸に貼す,がけいをこにちょうす,新年
掛飾,かけかざり,新年
賭双六,かけすごろく,新年
掛鯛,かけだい,新年
嘉月,かげつ,新年
懸けの魚,かけのうお,新年
懸蓬萊,かけほうらい,新年
掛筵,かけむしろ,新年
掛柳,かけやなぎ,新年
加古の物鎮,かこのものしずめ,新年
駕乗初,かごのりぞめ,新年
華歳,かさい,新年
挿頭綿,かざしのわた,新年
飾,かざり,新年
飾りあげ,かざりあげ,新年
飾臼,かざりうす,新年
飾馬,かざりうま,新年
飾海老,かざりえび,新年
飾納,かざりおさめ,新年
飾卸し,かざりおろし,新年
飾木,かざりぎ,新年
飾米,かざりごめ,新年
飾昆布,かざりこんぶ,新年
飾炭,かざりずみ,新年
飾り焚,かざりたき,新年
飾焚く,かざりたく,新年
飾竹,かざりだけ,新年
飾取る,かざりとる,新年
飾縄,かざりなわ,新年
飾羽子,かざりばね,新年
飾りはやし,かざりはやし,新年
飾松,かざりまつ,新年
飾夜具,かざりやぐ,新年
飾藁,かざりわら,新年
炊初,かしぎぞめ・たきぞめ,新年
鍛冶始,かじはじめ,新年
鹿島蹈歌祭,かしまとうかまつり,新年
鹿島の帯,かしまのおび,新年
鹿島の事触,かしまのことぶれ,新年
果樹責,かじゅぜめ,新年
賀正,がしょう,新年
賀状,がじょう,新年
賀状配達,がじょうはいたつ,新年
頭芋,かしらいも,新年
柏をきざむ盃,かしわをきざむさかずき,新年
春日御田植祭,かすがのおたうえまつり,新年
数の子,かずのこ,新年
霞初月,かすみそめづき,新年
夏正,かせい,新年
稼初,かせぎぞめ,新年
肩客,かたきゃく,新年
肩三日,かたみっか,新年
語初,かたりぞめ,新年
勝尾寺の富,かちおでらのとみ,新年
搗栗飾る,かちぐりかざる,新年
学校始,がっこうはじめ,新年
門明け,かどあけ,新年
花灯会,かとうえ,新年
門打,かどうち,新年
花灯の夕,かとうのゆうべ,新年
門飾,かどかざり,新年
門神棚,かどかみだな,新年
門木,かどき,新年
門入道,かどにゅうどう,新年
門の神棚,かどのかみだな,新年
門の竹,かどのたけ,新年
門の春,かどのはる,新年
門の松,かどのまつ,新年
門の松竹,かどのまつたけ,新年
門の礼帳,かどのれいちょう,新年
門開き,かどびらき,新年
門松,かどまつ,新年
門松取る,かどまつとる,新年
門万歳,かどまんざい,新年
門礼,かどれい,新年
門礼者,かどれいじゃ,新年
神名手舞,かなてまい,新年
歌舞始,かぶはじめ,新年
壁打,かべうち,新年
鎌倉海老,かまくらえび,新年
鎌倉海老飾る,かまくらえびかざる,新年
鎌倉祭,かまくらまつり,新年
竈祓,かまどばらい,新年
釜始,かまはじめ,新年
窯始,かまはじめ,新年
紙打,かみうち,新年
上賀茂御棚飾,かみがもおたなかざり,新年
上賀茂燃灯祭,かみがもねんとうさい,新年
上賀茂の元日神事,かみがものがんじつしんじ,新年
紙双六,かみすごろく,新年
神年越,かみとしこし,新年
上寅日,かみのとらのひ,新年
神の母聖マリアの祝日,かみのははせいまりあのいわいび,新年
亀戸の大御食調進,かめいどのおおみけちょうじん,新年
亀戸妙義参,かめいどみょうぎまいり,新年
榧,かや,新年
榧飾る,かやかざる,新年
榧衣,かやごろも,新年
粥占,かゆうら,新年
粥占神事,かゆうらしんじ,新年
粥占祭,かゆうらまつり,新年
粥木,かゆき,新年
粥草,かゆぐさ,新年
粥神事,かゆしんじ,新年
粥試,かゆだめし,新年
粥杖,かゆづえ,新年
粥杖,かゆづえ,新年
粥釣,かゆつり,新年
粥の木,かゆのき,新年
粥柱,かゆばしら,新年
烏呼,からすよび,新年
骨牌,かるた,新年
歌留多,かるた,新年
歌留多遊,かるたあそび,新年
